OBJECTID,POINTID,LAT,LON,NUTS_ID,STAT_LEVL_,CNTR_CODE,CRIME,DISP_INC,LEAVERS,EDUC,EMPL,GENDER,HEALTH,INC_EQ,MTRL,POV,PR_LVLS,TCI,WS_QoL,WS_QoLadj,EUSILC
3584,3584,56.23714130000,9.46674175351,DK042,3.000000,DK,0.595810,22246.000000,7.800000,41.400000,75.600000,27.200000,75.400000,27.700000,2.300000,18.100000,139.100000,0.226748,0.661515,6.615151,8.000000
3585,3585,56.23795970000,9.74765566574,DK042,3.000000,DK,0.595810,22246.000000,7.800000,41.400000,75.600000,27.200000,75.400000,27.700000,2.300000,18.100000,139.100000,0.235962,0.661849,6.618486,8.000000
3586,3586,56.23819280000,10.02857700000,DK042,3.000000,DK,0.595810,22246.000000,7.800000,41.400000,75.600000,27.200000,75.400000,27.700000,2.300000,18.100000,139.100000,0.245287,0.662186,6.621860,8.000000
3587,3587,56.23784060000,10.30949750000,DK042,3.000000,DK,0.595810,22246.000000,7.800000,41.400000,75.600000,27.200000,75.400000,27.700000,2.300000,18.100000,139.100000,0.251783,0.662421,6.624212,8.000000
3588,3588,56.23690310000,10.59040890000,DK042,3.000000,DK,0.595810,22246.000000,7.800000,41.400000,75.600000,27.200000,75.400000,27.700000,2.300000,18.100000,139.100000,0.254382,0.662515,6.625152,8.000000
3589,3589,56.21395910000,12.55583950000,SE224,3.000000,SE,0.639000,23265.000000,6.400000,51.200000,77.100000,27.100000,89.550000,25.400000,1.200000,18.700000,125.600000,0.244295,0.847245,8.472449,8.000000
3590,3590,56.20834300000,12.83638070000,SE224,3.000000,SE,0.639000,23265.000000,6.400000,51.200000,77.100000,27.100000,89.550000,25.400000,1.200000,18.700000,125.600000,0.237356,0.846994,8.469938,8.000000
3591,3591,56.20214290000,13.11683870000,SE224,3.000000,SE,0.639000,23265.000000,6.400000,51.200000,77.100000,27.100000,89.550000,25.400000,1.200000,18.700000,125.600000,0.225129,0.846551,8.465512,8.000000
3592,3592,56.19535910000,13.39720510000,SE224,3.000000,SE,0.639000,23265.000000,6.400000,51.200000,77.100000,27.100000,89.550000,25.400000,1.200000,18.700000,125.600000,0.222456,0.846455,8.464546,8.000000
3593,3593,56.18799200000,13.67747190000,SE224,3.000000,SE,0.639000,23265.000000,6.400000,51.200000,77.100000,27.100000,89.550000,25.400000,1.200000,18.700000,125.600000,0.228217,0.846663,8.466630,8.000000
3594,3594,56.18004180000,13.95763090000,SE224,3.000000,SE,0.639000,23265.000000,6.400000,51.200000,77.100000,27.100000,89.550000,25.400000,1.200000,18.700000,125.600000,0.237511,0.846999,8.469994,8.000000
3595,3595,56.17150890000,14.23767390000,SE224,3.000000,SE,0.639000,23265.000000,6.400000,51.200000,77.100000,27.100000,89.550000,25.400000,1.200000,18.700000,125.600000,0.243565,0.847219,8.472185,8.000000
3596,3596,56.16239380000,14.51759290000,SE224,3.000000,SE,0.639000,23265.000000,6.400000,51.200000,77.100000,27.100000,89.550000,25.400000,1.200000,18.700000,125.600000,0.244799,0.847263,8.472632,8.000000
3597,3597,56.15269670000,14.79737970000,SE221,3.000000,SE,0.059900,23265.000000,6.400000,51.200000,77.100000,27.100000,89.550000,25.400000,1.200000,18.700000,125.600000,0.245869,0.847828,8.478279,8.000000
3598,3598,55.77038440000,21.17781300000,LT003,3.000000,LT,0.176450,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.253452,0.626564,6.265637,6.700000
3599,3599,55.74691000000,21.45207920000,LT003,3.000000,LT,0.176450,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.254246,0.626593,6.265925,6.700000
3600,3600,55.72287210000,21.72602170000,LT003,3.000000,LT,0.176450,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.253835,0.626578,6.265776,6.700000
3601,3601,55.69827150000,21.99963340000,LT008,3.000000,LT,0.031010,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.256565,0.626808,6.268085,6.700000
3602,3602,55.67310930000,22.27290740000,LT007,3.000000,LT,0.016220,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.257489,0.626855,6.268554,6.700000
3603,3603,55.64738660000,22.54583670000,LT006,3.000000,LT,0.031960,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.261864,0.626999,6.269994,6.700000
3604,3604,55.62110460000,22.81841430000,LT006,3.000000,LT,0.031960,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.266633,0.627172,6.271720,6.700000
3605,3605,55.59426420000,23.09063340000,LT006,3.000000,LT,0.031960,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.270669,0.627318,6.273181,6.700000
3606,3606,55.56686660000,23.36248710000,LT006,3.000000,LT,0.031960,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.272159,0.627372,6.273720,6.700000
3607,3607,55.53891300000,23.63396880000,LT006,3.000000,LT,0.031960,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.273756,0.627430,6.274298,6.700000
3608,3608,55.51040460000,23.90507170000,LT002,3.000000,LT,0.237100,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.274936,0.627286,6.272862,6.700000
3609,3609,55.48134250000,24.17578930000,LT005,3.000000,LT,0.000000,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.274916,0.627501,6.275008,6.700000
3610,3610,55.45172790000,24.44611490000,LT005,3.000000,LT,0.000000,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.273556,0.627452,6.274516,6.700000
3611,3611,55.42156210000,24.71604210000,LT00A,3.000000,LT,0.129680,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.272453,0.627294,6.272939,6.700000
3612,3612,55.39084630000,24.98556430000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.270694,0.627328,6.273282,6.700000
3613,3613,55.35958170000,25.25467530000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.269062,0.627269,6.272692,6.700000
3614,3614,55.32776970000,25.52336880000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.269784,0.627295,6.272953,6.700000
3615,3615,55.29541160000,25.79163830000,LT00A,3.000000,LT,0.129680,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.270904,0.627238,6.272379,6.700000
3616,3616,55.26250850000,26.05947790000,LT00A,3.000000,LT,0.129680,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.272264,0.627287,6.272871,6.700000
3617,3617,55.22906200000,26.32688140000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.272357,0.627388,6.273885,6.700000
3618,3618,55.19507330000,26.59384260000,LT00A,3.000000,LT,0.129680,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.275438,0.627402,6.274019,6.700000
3619,3619,54.76409960000,-8.59111121000,IE,0.000000,IE,0.414440,19403.000000,9.400000,45.400000,64.700000,37.500000,82.300000,30.800000,9.400000,31.200000,122.300000,0.072530,0.614297,6.142966,7.400000
3620,3620,54.80212930000,-8.32867828000,IE,0.000000,IE,0.414440,19403.000000,9.400000,45.400000,64.700000,37.500000,82.300000,30.800000,9.400000,31.200000,122.300000,0.076072,0.614425,6.144248,7.400000
3621,3621,54.83962940000,-8.06576344000,IE,0.000000,IE,0.414440,19403.000000,9.400000,45.400000,64.700000,37.500000,82.300000,30.800000,9.400000,31.200000,122.300000,0.074375,0.614363,6.143634,7.400000
3622,3622,54.87659860000,-7.80237215000,IE,0.000000,IE,0.414440,19403.000000,9.400000,45.400000,64.700000,37.500000,82.300000,30.800000,9.400000,31.200000,122.300000,0.104820,0.615465,6.154652,7.400000
3623,3623,54.91303530000,-7.53850995000,IE,0.000000,IE,0.414440,19403.000000,9.400000,45.400000,64.700000,37.500000,82.300000,30.800000,9.400000,31.200000,122.300000,0.131457,0.616429,6.164293,7.400000
3624,3624,54.94893830000,-7.27418246000,UKN04,3.000000,UK,0.305030,22509.000000,16.100000,41.600000,72.200000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.122693,0.628448,6.284485,7.300000
3625,3625,54.98430590000,-7.00939534000,UKN04,3.000000,UK,0.305030,22509.000000,16.100000,41.600000,72.200000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.114996,0.628170,6.281699,7.300000
3626,3626,55.01913690000,-6.74415434000,UKN04,3.000000,UK,0.305030,22509.000000,16.100000,41.600000,72.200000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.118633,0.628301,6.283015,7.300000
3627,3627,55.05342990000,-6.47846527000,UKN04,3.000000,UK,0.305030,22509.000000,16.100000,41.600000,72.200000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.145007,0.629256,6.292561,7.300000
3628,3628,55.08718360000,-6.21233402000,UKN04,3.000000,UK,0.305030,22509.000000,16.100000,41.600000,72.200000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.112739,0.628088,6.280882,7.300000
3629,3629,55.27830480000,-4.60659801000,UKM,1.000000,UK,0.288350,22509.000000,15.100000,55.600000,74.100000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.096942,0.647312,6.473121,7.300000
3630,3630,55.30824620000,-4.33754153000,UKM,1.000000,UK,0.288350,22509.000000,15.100000,55.600000,74.100000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.077301,0.646601,6.466013,7.300000
3631,3631,55.33763800000,-4.06809223000,UKM,1.000000,UK,0.288350,22509.000000,15.100000,55.600000,74.100000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.076900,0.646587,6.465867,7.300000
3632,3632,55.36647900000,-3.79825656000,UKM,1.000000,UK,0.288350,22509.000000,15.100000,55.600000,74.100000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.106085,0.647643,6.476430,7.300000
3633,3633,55.39476790000,-3.52804103000,UKM,1.000000,UK,0.288350,22509.000000,15.100000,55.600000,74.100000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.100535,0.647442,6.474421,7.300000
3634,3634,55.42250360000,-3.25745222000,UKM,1.000000,UK,0.288350,22509.000000,15.100000,55.600000,74.100000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.086358,0.646929,6.469290,7.300000
3635,3635,55.44968500000,-2.98649676000,UKM,1.000000,UK,0.288350,22509.000000,9.800000,58.300000,77.400000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.142053,0.666725,6.667245,7.300000
3636,3636,55.47631090000,-2.71518135000,UKM,1.000000,UK,0.288350,22509.000000,9.800000,58.300000,77.400000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.181350,0.668147,6.681467,7.300000
